CATEGORYNAME,TITLE,PRICE,WEIGHT,UNIT,DESCRIPTION
Ice Cream & Sorbets,Sweet Tooth Pineapple (Soursop & Vanilla) ,65 cedis,,,
Ice Cream & Sorbets,Sweet Tooth Pineapple Sorbet ,65 cedis,,,
Ice Cream & Sorbets,Sorbet Pineapple (Passion Fruit & Cinnamon) ,260 cedis,,,
Ice Cream & Sorbets,Coconut Ice Cream ,75 cedis,,,
Ice Cream & Sorbets,Caju Caju Ginger Sorbet,65 cedis,,,
Ice Cream & Sorbets,Caju Caju Lemon Sorbet,65 cedis,,,
Ice Cream & Sorbets,Caju Caju Ginger Sorbet,260 cedis,,,
Ice Cream & Sorbets,Vanilla Date Ice Cream ,75 cedis,,,
Ice Cream & Sorbets,Aromatic Orange Sorbet ,65 cedis,,,
Ice Cream & Sorbets,Pineapple Sorbet ,65 cedis,,,
Ice Cream & Sorbets,Lemon Sorbet,,,,
Ice Cream & Sorbets,Toasted Coconut Ice Cream, 225 cedis,,,
Fat & Oils,Neem Oil ,225 cedis,500ml ,ml,
Vegetables,Curry Leaves,,,,
Vegetables,Dill,,,,
Vegetables,Ginger,,,,
Vegetables,Pepper Fine,,,,
Vegetables,Pepper Flakes,,,,
Spicies & Herbs,Tumeric,,,,
